,Unnamed: 0,운용사,상품명,기간별수익률(1개월),기간별수익률(3개월),기간별수익률(6개월),기간별수익률(1년),기간별수익률(2년),기간별수익률(3년),위험등급,참고지수,위험등급(num),군집,지수1,비중1,지수2,비중2
104,106,키움투자자산운용,키움키워드림TDF2050증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),2.79,-2.24,-1.1,5.74,24.73,21.42,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
105,107,미래에셋자산운용,미래에셋전략배분TDF2040혼합자산자투자신탁종류C-P2,3.04,-2.14,0.51,5.74,24.42,25.10,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
106,108,키움투자자산운용,키움키워드림TDF2035증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),1.73,-2.14,-0.937,5.7319,21.89,18.741,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
107,109,한국투자신탁운용,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(O),3.4,-1.02,0.45,5.69,25.08,-,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
108,110,키움투자자산운용,키움키워드림TDF2040증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),2.25,-2.24,-1.04,5.66,23.8,20.91,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
109,111,삼성자산운용,삼성퇴직연금코리아대표40증권자투자신탁1[채권혼합]C,2.31,2.47,5.93,5.64,11.78,11.11,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
110,113,KB자산운용,KB온국민평생소득TIF20증권자투자신탁(채권혼합-재간접형)C-퇴직e,0.13,1.65,0.48,5.58,5.55,9.50,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75
111,114,키움투자자산운용,키움키워드림TDF2025증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),0.46,-1.71,-0.37,5.56,16.93,12.52,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
112,115,키움투자자산운용,키움퇴직연금코어밸류40증권자투자신탁1[채권혼합]ClassC,2.16,2.08,6.73,5.52,12.74,14.06,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
113,116,한국투자신탁운용,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(C-Re),3.38,-1.06,0.37,5.51,24.65,25.82,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
114,117,한국투자신탁운용,한국투자TDF알아서2040증권투자신탁(주식혼합-재간접형)(C-Re),3.02,-0.96,0.52,5.50,23.59,24.61,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
115,118,한국투자신탁운용,한국투자TDF알아서2035증권투자신탁(주식혼합-재간접형)(C-Re),2.56,-0.93,0.59,5.48,22.32,23.00,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
116,119,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류O,2.43,-2.08,0.45,5.44,22.83,-,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
117,120,한화자산운용,한화코리아밸류채권증권자투자신탁(채권)종류C-RPe(퇴직연금),0.34,1.26,2.3926,5.4246,11.19,14.173,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
118,121,삼성자산운용,삼성퇴직연금코리아중소형40증권자투자신탁1[채권혼합]Ce,2.67,3.3,9.02,5.42,15.84,16.95,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
119,122,미래에셋자산운용,미래에셋연금인디아업종대표증권자투자신탁1(주식)종류C-P2,-2.36,7.62,-3.56,5.40,43.43,62.57,높은위험,MSCI INDIA,3,2,MSCI INDIA,1.0,,
120,123,KB자산운용,KB온국민평생소득TIF20증권자투자신탁(채권혼합-재간접형)C-퇴직,0.13,1.65,0.391,5.3915,5.55,8.9169,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75
121,124,우리자산운용,우리알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)ClassPe1,3.03,-0.91,-0.79,5.38,18.74,20.26,다소높은위험,MSCI NORTH AMERICA CR 50% + 종합채권01Y 50%,4,0,MSCI NORTH AMERICA CR,0.5,종합채권01Y,0.5
122,125,한국투자신탁운용,한국투자TDF알아서2030증권투자신탁(주식혼합-재간접형)(C-Re),2.0,-0.92,0.65,5.38,20.12,20.35,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
123,126,키움투자자산운용,키움키워드림TDF2050증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),2.76,-2.34,-1.28,5.36,23.85,20.12,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
124,127,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류C-P2e,2.42,-2.1,0.41,5.36,22.64,23.75,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
125,128,키움투자자산운용,키움키워드림TDF2025증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),0.44,-1.76,-0.46,5.36,16.47,11.85,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
126,129,한화자산운용,한화코리아밸류채권증권자투자신탁(채권)종류C-RP(퇴직연금),0.33,1.24,2.35,5.34,11.02,13.90,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
127,130,한국투자신탁운용,한국투자TDF알아서증권투자신탁(채권혼합-재간접형)(C-Re),1.29,-0.66,0.92,5.31,15.99,14.62,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
128,132,한국투자신탁운용,한국투자TDF알아서2025증권투자신탁(주식혼합-재간접형)(C-Re),1.43,-0.81,0.78,5.24,17.25,16.55,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
129,133,마이다스에셋자산 운용,마이다스퇴직연금배당40증권자투자신탁1(채권혼합)Ce,2.6,2.98,7.5,5.17,12.33,14.56,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
130,134,우리자산운용,우리알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)ClassP1,3.01,-0.97,-0.9,5.14,18.2,19.44,다소높은위험,MSCI NORTH AMERICA CR 50% + 종합채권01Y 50%,4,0,MSCI NORTH AMERICA CR,0.5,종합채권01Y,0.5
131,135,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류C-P2,2.41,-2.16,0.31,5.14,22.14,22.98,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5
132,136,삼성자산운용,삼성퇴직연금코리아중소형40증권자투자신탁1[채권혼합]C,2.65,3.23,8.87,5.13,15.2,15.98,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
133,137,한국투자신탁운용,한국투자TDF알아서증권투자신탁(채권혼합-재간접형)C-R,1.28,-0.71,0.83,5.10,15.54,13.95,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
134,138,한국투자신탁운용,한국투자TDF알아서2020증권자투자신탁(채권혼합-재간접형)(C-Re),1.4,-0.81,0.73,5.09,16.39,15.31,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
135,139,유진자산운용,유진챔피언중단기채증권자투자신탁(채권)ClassC-Re,0.3,1.12,2.2,5.05,10.68,15.33,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
136,140,우리자산운용,우리하이플러스채권증권자투자신탁1(채권)ClassC-Pe,0.28,1.08,2.19,5.04,10.56,14.66,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
137,141,미래에셋자산운용,미래에셋전략배분TDF2030혼합자산자투자신탁종류C-P2e,1.87,-1.69,0.54,4.98,18.82,18.95,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
138,142,우리자산운용,우리하이플러스채권증권자투자신탁1(채권)ClassC-P,0.28,1.05,2.15,4.96,10.39,14.39,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
139,143,유진자산운용,유진챔피언중단기채증권자투자신탁(채권)ClassC-R,0.29,1.09,2.15,4.93,10.43,14.94,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,
140,144,마이다스에셋자산 운용,마이다스퇴직연금배당40증권자투자신탁1(채권혼합)C,2.58,2.91,7.36,4.89,11.73,13.64,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
141,145,신한자산운용,신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-re),0.95,-0.83,-0.07,4.84,16.2,15.54,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
142,146,미래에셋자산운용,미래에셋전략배분TDF2030혼합자산자투자신탁종류C-P2,1.86,-1.75,0.44,4.76,18.33,18.21,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
143,147,신한자산운용,신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-r),0.94,-0.88,-0.16,4.63,15.76,14.87,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
144,148,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류O,1.54,-1.32,0.68,4.60,16.21,-,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
145,149,IBK자산운용,IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류C-Re,4.67,1.33,2.05,4.52,22.79,8.05,다소높은위험,"MSCI ACWI CR 50% +
Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50%",4,0,MSCI ACWI CR,0.5,Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5
146,150,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2e,1.53,-1.34,0.64,4.51,16.03,15.72,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
147,151,NH-Amundi자산 운용,NH-Amundi글로벌혁신기업증권자투자신탁(H)[주식]ClassC-P2e(퇴직연금),6.47,-3.86,-4.64,4.42,33.03,27.20,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,
148,152,삼성자산운용,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_Cpe(퇴직연금),-0.26,-0.24,1.12,4.39,7.76,4.77,낮은위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,1,3,MSCI ACWI CR,0.25,종합채 권01Y,0.75
149,153,키움투자자산운용,키움더드림단기채증권투자신탁[채권]C-P2e(퇴직연금),0.32,1.0,2.02,4.36,9.5,14.15,매우낮은위험,KAP CD 6개월  90%,0,5,KAP CD 6개월,0.9,,
150,154,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2,1.52,-1.39,0.54,4.30,15.57,15.03,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5
151,155,한국투자신탁운용,한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-Re),3.16,-6.06,-1.55,4.29,-8.22,-8.50,높은위험,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl 90% + CALL 10%,3,2,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl,0.9,,
152,156,키움투자자산운용,키움더드림단기채증권투자신탁[채권]C-P2(퇴직연금),0.31,0.97,1.97,4.25,9.26,13.77,매우낮은위험,KAP CD 6개월  90%,0,5,KAP CD 6개월,0.9,,
153,157,미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2e,1.09,-0.85,0.81,4.22,12.38,9.03,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75
154,158,IBK자산운용,IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류C-R,4.65,1.25,1.89,4.20,22.06,7.07,다소높은위험,"MSCI ACWI CR 50% +
Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50%",4,0,MSCI ACWI CR,0.5,Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5
155,159,삼성자산운용,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_Cp(퇴직연금),-0.28,-0.28,1.02,4.19,7.35,4.18,낮은위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,1,3,MSCI ACWI CR,0.25,종합채 권01Y,0.75
156,160,마이다스에셋자산 운용,마이다스단기국공채공모주증권투자신탁1(채권혼합)C-Pe2,0.28,1.2,1.92,4.09,9.85,11.77,낮은위험,KOSPI200 10% + 종합채권 01Y 90%,1,3,KOSPI200,0.1,종합채권 01Y,0.9
157,161,우리자산운용,우리PIMCO글로벌투자등급자투자신탁[채권_재간접형](H)ClassPe1,-0.83,-1.13,0.19,4.04,8.15,3.66,보통위험,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),2,1,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),1.0,,
158,162,미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2,1.08,-0.9,0.72,4.03,11.97,8.41,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75
159,163,NH-Amundi자산 운용,NH-Amundi글로벌혁신기업증권자투자신탁(H)[주식]ClassC-P2(퇴직연금),6.44,-3.97,-4.83,4.00,31.97,25.67,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,
160,164,마이다스에셋자산 운용,마이다스단기국공채공모주증권투자신탁1(채권혼합)C-P2,0.27,1.16,1.83,3.91,9.47,11.19,낮은위험,KOSPI200 10% + 종합채권 01Y 90%,1,3,KOSPI200,0.1,종합채권 01Y,0.9
161,165,우리자산운용,우리PIMCO글로벌투자등급자투자신탁[채권_재간접형](H)ClassP1,-0.84,-1.17,0.12,3.88,7.83,3.20,보통위험,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),2,1,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),1.0,,
162,166,한국투자신탁운용,한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-R),3.12,-6.17,-1.78,3.82,-9.07,-9.77,높은위험,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl 90% + CALL 10%,3,2,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl,0.9,,
163,167,미래에셋자산운용,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1(채권)종류C-P2e,-0.32,-0.23,0.68,3.66,7.3,5.92,낮은위험,"JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50% + JACI Sovereign 50%",1,3,JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,JACI Sovereign,0.5
164,168,미래에셋자산운용,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1(채권)종류C,-0.34,-0.26,0.61,3.50,6.98,5.45,낮은위험,"JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50% + JACI Sovereign 50%",1,3,JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,JACI Sovereign,0.5
165,169,베어링자산운용,베어링고배당증권자투자신탁(주식)ClassC-P2e,6.78,7.16,9.7,3.23,19.09,18.71,높은위험,코스피 고배당 50,3,2,코스피 고배당 50,1.0,,
166,170,미래에셋자산운용,미래에셋개인전용MMF1(국공채)종류C-P2e,0.22,0.67,1.4,3.09,6.7,9.70,매우낮은위험,CALL,0,5,,,,
167,171,미래에셋자산운용,미래에셋개인전용MMF1(국공채)종류C-P2,0.21,0.65,1.35,2.99,6.49,9.37,매우낮은위험,CALL,0,5,,,,
168,172,베어링자산운용,베어링고배당증권자투자신탁(주식)ClassC-P2,6.76,7.09,9.54,2.93,18.4,17.67,높은위험,코스피 고배당 50,3,2,코스피 고배당 50,1.0,,
169,173,미래에셋자산운용,미래에셋퇴직연금스마트롱숏30증권자투자신탁1(채권혼합)종류C-P2e,1.66,1.59,3.87,2.75,9.74,10.97,낮은위험,KOSPI200 25% + 종합채권 01Y 75%,1,3,KOSPI200,0.25,종합채권 01Y,0.75
170,174,미래에셋자산운용,미래에셋퇴직연금스마트롱숏30증권자투자신탁1(채권혼합)종류C,1.64,1.52,3.74,2.49,9.2,10.15,낮은위험,KOSPI200 25% + 종합채권 01Y 75%,1,3,KOSPI200,0.25,종합채권 01Y,0.75
171,175,교보악사자산운용,교보악사파워인덱스증권자투자신탁1(주식)ClassC-Pe,7.36,5.84,13.59,2.41,13.06,11.87,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
172,176,슈로더투자신탁운 용,슈로더글로벌지속가능성장주증권투자신탁(주식-재간접형)종류C-CPe(퇴직연금),6.03,0.11,0.63,2.22,18.89,26.14,높은위험,MSCI ACWI,3,2,MSCI ACWI,1.0,,
173,177,삼성자산운용,삼성퇴직연금인덱스증권자투자신탁1[주식]Ce,7.17,5.52,13.54,2.12,12.53,11.16,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
174,178,교보악사자산운용,교보악사파워인덱스증권자투자신탁1[주식]ClassCP,7.34,5.76,13.43,2.11,12.39,10.87,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
175,179,미래에셋자산운용,미래에셋퇴직연금스마트롱숏50증권자투자신탁1(주식혼합)종류C-e,3.35,2.67,7.04,2.01,12.63,13.51,낮은위험,KOSPI200 25% + 종합채권 01Y 75%,1,3,KOSPI200,0.25,종합채권 01Y,0.75
176,180,한국투자신탁운용,한국투자미국배당귀족증권자투자신탁H(주식)(C-Re),2.01,-3.21,-7.95,1.94,10.17,6.08,높은위험,S&P 500,3,2,S&P 500,1.0,,
177,181,삼성자산운용,삼성퇴직연금인덱스증권자투자신탁1[주식]C,7.16,5.47,13.43,1.92,12.09,10.50,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
178,182,슈로더투자신탁운 용,슈로더글로벌지속가능성장주증권투자신탁(주식-재간접형)종류C-CP(퇴직연금),6.0,0.01,0.43,1.81,17.93,24.63,높은위험,MSCI ACWI,3,2,MSCI ACWI,1.0,,
179,183,미래에셋자산운용,미래에셋퇴직연금스마트롱숏50증권자투자신탁1(주식혼합)종류C,3.33,2.6,6.89,1.70,11.96,12.50,낮은위험,KOSPI200 25% + 종합채권 01Y 75%,1,3,KOSPI200,0.25,종합채권 01Y,0.75
180,184,한국투자신탁운용,한국투자미국배당귀족증권자투자신탁H(주식)(C-R),1.97,-3.33,-8.17,1.48,9.17,4.63,높은위험,S&P 500,3,2,S&P 500,1.0,,
181,185,미래에셋자산운용,미래에셋퇴직연금배당커버드콜액티브증권자투자신탁1(주식혼합)종류C-P2e,5.05,4.39,12.29,0.83,15.94,12.12,다소높은위험,KOSPI200 50% + 종합채권 01Y 50%,4,0,KOSPI200,0.5,종합채권 01Y,0.5
182,186,미래에셋자산운용,미래에셋퇴직연금배당커버드콜액티브증권자투자신탁1(주식혼합)종류C,5.03,4.33,12.17,0.60,15.41,11.36,다소높은위험,KOSPI200 50% + 종합채권 01Y 50%,4,0,KOSPI200,0.5,종합채권 01Y,0.5
183,187,신영자산운용,신영마라톤증권투자신탁(주식)C-P2e,6.81,5.58,11.01,0.30,11.63,6.60,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
184,188,신영자산운용,신영마라톤증권투자신탁(주식)C-P2형,6.78,5.47,10.78,-0.13,10.69,5.24,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
185,189,이스트스프링자산 운용,이스트스프링차이나드래곤AShare증권자투자신탁(H)[주식]클래스C-P(퇴직연금)E,0.62,-5.57,-3.58,-1.88,-15.07,-24.06,높은위험,"CSI 300 LOCAL 90% + CALL
10%",3,2,CSI 300 LOCAL,0.9,,
186,190,신한자산운용,신한삼성전자알파증권자투자신탁1[채권혼합](종류C-re),0.24,0.99,2.39,-2.24,2.51,6.38,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
187,191,이스트스프링자산 운용,이스트스프링차이나드래곤AShare증권자투자신탁(H)[주식]클래스C-P(퇴직연금),0.59,-5.66,-3.77,-2.28,-15.75,-24.97,높은위험,"CSI 300 LOCAL 90% + CALL
10%",3,2,CSI 300 LOCAL,0.9,,
188,192,신한자산운용,신한삼성전자알파증권자투자신탁1[채권혼합](종류C-r),0.23,0.95,2.32,-2.39,2.18,5.87,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75
189,193,키움투자자산운용,키움차세대모빌리티증권자투자신탁1[주식]C-P2e(퇴직연금),3.02,0.28,6.45,-4.39,-0.57,5.49,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
190,194,한국투자신탁운용,한국투자연금베트남그로스증권자투자신탁(주식)(C-Re),6.93,-6.28,-3.19,-4.52,14.02,-2.79,높은위험,베트남 호치민(LOCAL),3,2,베트남 호치민(LOCAL),1.0,,
191,195,키움투자자산운용,키움차세대모빌리티증권자투자신탁1[주식]C-P2(퇴직연금),2.99,0.18,6.24,-4.78,-1.38,4.22,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
192,196,한국투자신탁운용,한국투자연금베트남그로스증권자투자신탁(주식)(C-R),6.9,-6.39,-3.41,-4.95,12.98,-4.12,높은위험,베트남 호치민(LOCAL),3,2,베트남 호치민(LOCAL),1.0,,
193,197,NH-Amundi자산 운용,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2e(퇴직연금),9.52,5.97,26.69,-6.89,16.75,21.78,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
194,198,NH-Amundi자산 운용,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2(퇴직연금),9.52,5.95,26.63,-7.01,16.46,21.33,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
195,199,교보악사자산운용,교보악사로보테크증권자투자신탁1(H)[주식]ClassC-Re,7.9,-5.21,-6.94,-7.03,12.12,21.84,높은위험,MSCI ACWI  90% + Call 10%,3,2,MSCI ACWI,0.9,,
196,200,삼성자산운용,삼성글로벌반도체증권자투자신탁UH[주식]_Cpe(퇴직),8.45,-6.59,0.48,-7.26,46.35,72.19,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,
197,201,교보악사자산운용,교보악사로보테크증권자투자신탁1(H)[주식]ClassC-R,7.87,-5.29,-7.1,-7.36,11.34,20.59,높은위험,MSCI ACWI  90% + Call 10%,3,2,MSCI ACWI,0.9,,
198,202,삼성자산운용,삼성글로벌반도체증권자투자신탁UH[주식]_Cp(퇴직),8.42,-6.68,0.31,-7.58,45.39,70.46,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,
199,203,한화자산운용,한화글로벌헬스케어증권자투자신탁(주식)종류RPe(퇴직연금),-4.5,-10.02,-8.79,-7.99,-7.29,-0.35,다소높은위험,MSCI ACWI Health Care,4,0,MSCI ACWI Health Care,1.0,,
200,204,한화자산운용,한화글로벌헬스케어증권자투자신탁(주식)종류RP(퇴직연금),-4.52,-10.08,-8.91,-8.23,-7.76,-1.10,다소높은위험,MSCI ACWI Health Care,4,0,MSCI ACWI Health Care,1.0,,
201,205,유리자산운용,유리필라델피아반도체인덱스증권자투자신탁UH[주식]ClassC-P1e,8.4,-7.06,-2.18,-8.71,42.84,66.29,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
202,206,유리자산운용,유리필라델피아반도체인덱스증권자투자신탁UH[주식]ClassC-P1,8.38,-7.12,-2.29,-8.93,42.18,65.15,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
203,207,유리자산운용,유리필라델피아반도체인덱스증권자투자신탁H[주식]ClassC-P1e,11.7,-4.11,-2.11,-10.97,31.47,43.18,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
204,208,삼성자산운용,삼성글로벌반도체증권자투자신탁H[주식]_Cpe(퇴직),12.76,-3.89,-0.12,-11.17,34.38,49.49,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
205,209,유리자산운용,유리필라델피아반도체인덱스증권자투자신탁H[주식]ClassC-P1,11.68,-4.17,-2.22,-11.19,30.86,42.19,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
206,210,다올자산운용,다올글로벌멀티에셋인컴EMP증권자투자신탁[혼합-재간접형](공)종류CPe,1.69,-7.57,-7.44,-11.27,5.48,-6.22,높은위험,MSCI ACWI CR 75% + 종합채 권01Y 25%,3,2,MSCI ACWI CR,0.75,종합채 권01Y,0.25
207,211,삼성자산운용,삼성글로벌반도체증권자투자신탁H[주식]_Cp(퇴직),12.73,-3.97,-0.28,-11.47,33.49,47.99,매우높은위험,MSCI ACWI Information Technology,5,4,MSCI ACWI Information Technology,1.0,,
208,212,다올자산운용,다올글로벌멀티에셋인컴EMP증권자투자신탁[혼합-재간접형](공)종류CP,1.67,-7.64,-7.58,-11.54,4.85,-7.06,높은위험,MSCI ACWI CR 75% + 종합채 권01Y 25%,3,2,MSCI ACWI CR,0.75,종합채 권01Y,0.25
209,213,한화,PLUSK방산,16.75,63.05,37.41,131.65,211.15,258.34,높은위험,KOSPI200,3,2,KOSPI200,1.0,,
210,214,미래에셋,TIGER200중공업,18.99,19.44,32.42,83.82,136.20,167.58,매우높은위험,KOSPI200 중공업,5,4,KOSPI200 중공업,1.0,,
211,215,미래에셋,TIGER미디어컨텐츠,12.53,21.89,15.08,56.47,-14.25,-8.89,매우높은위험,KRX 미디어통신,5,4,KRX 미디어통신,1.0,,
212,216,미래에셋,TIGER차이나항셍테크,-11.64,4.47,-17.66,54.09,40.20,46.15,매우높은위험,MSCI CHINA,5,4,MSCI CHINA,1.0,,
213,217,삼성,KODEX미국AI전력핵심인프라,7.6,-18.38,15.74,48.63,-,-,높은위험,MSCI NORTH AMERICA,3,2,MSCI NORTH AMERICA,1.0,,
